Identificador de URL,
Nombre,APRENDE A DIBUJAR - PASO A  PASO  - ANONIMO - LATINBOOKS
Categorías,
Precio,"18.990,00"
Precio promocional,
Peso (kg),0.408
Alto (cm),0
Ancho (cm),0
Profundidad (cm),0
Stock,3
SKU,8779-WL
Código de barras,9789915696324
Mostrar en tienda,SI
Envío sin cargo,NO
Descripción,"GRANJA EN MOVIMIENTO - LEO CON SORPRESA POP UP<br><br>¡Prepárate para explorar y jugar con las criaturas más increíbles de la Tierra! Con esta colección, conocerás a animales asombrosos y fabulosos dinosaurios que saltan de las páginas con escenas pop-up llenas de diversión.<br><br>Edad recomendada: A partir de 3 años.<br>Autor: ANONIMO<br>Editorial: LATINBOOKS<br>ISBN: 9789915696324<br>Páginas: 12<br>Peso: 0.408 gr."
Tags,
Título para SEO,
Descripción para SEO,
Marca,LATINBOOKS
Producto Físico,SI
MPN (Número de pieza del fabricante),
Sexo,
Rango de edad,
Costo,